ds,y
2015-01-31,1549.6714153011233
2015-02-28,1577.8906741754422
2015-03-31,1742.0021110193616
2015-04-30,1903.2676439402817
2015-05-31,1785.0850494211204
2015-06-30,1823.6277041689757
2015-07-31,2023.6003885032724
2015-08-31,1942.2292713125153
2015-09-30,1802.4604864381945
2015-10-31,1876.2288565359602
2015-11-30,1742.4965034236097
2015-12-31,1709.6561486631324
2016-01-31,1754.5142770816842
2016-02-29,1525.2830425433272
2016-03-31,1546.907793996486
2016-04-30,1685.1045124392804
2016-05-31,1681.8732763897822
2016-06-30,1875.0584367659214
2016-07-31,1828.8709979501466
2016-08-31,1865.4044694986326
2016-09-30,2245.3552404358948
2016-10-31,2167.3177620123065
2016-11-30,2280.5627112406673
2016-12-31,2202.634645559392
2017-01-31,2345.1869473014162
2017-02-28,2445.950936753646
2017-03-31,2335.1310753331
2017-04-30,2484.707622209652
2017-05-31,2368.7519753482966
2017-06-30,2370.8458400794293
2017-07-31,2306.3588714548455
2017-08-31,2519.846496641291
2017-09-30,2309.036075055048
2017-10-31,2193.3987918501066
2017-11-30,2387.268908773954
2017-12-31,2208.180564449773
2018-01-31,2396.221929414809
2018-02-28,2242.7008738379964
2018-03-31,2384.0673238134204
2018-04-30,2624.818366382615
2018-05-31,2771.3979662154047
2018-06-30,2805.0091388853843
2018-07-31,2858.468418137546
2018-08-31,2908.6738737092564
2018-09-30,2842.357857458738
2018-10-31,2950.1353126395697
2018-11-30,2988.200791904172
2018-12-31,3134.075570306576
2019-01-31,3042.292140434071
2019-02-28,2801.622358615276
2019-03-31,2976.6732922677184
2019-04-30,2874.715024134857
2019-05-31,2823.1258821660367
2019-06-30,2943.3741050544213
2019-07-31,2994.272669919342
2019-08-31,3012.8796633902252
2019-09-30,2884.1044129361353
2019-10-31,3003.1977025521783
2019-11-30,3147.5056343864685
2019-12-31,3301.301015571807
2020-01-31,3248.3360733558998
2020-02-29,3367.0548110875066
2020-03-31,3355.2475624620974
2020-04-30,3412.3531723335336
2020-05-31,3661.5009307608143
2020-06-30,3744.451285187335
2020-07-31,3610.5925116716317
2020-08-31,3709.5352075925693
2020-09-30,3622.940350328275
2020-10-31,3491.2231292112483
2020-11-30,3558.2131863992918
2020-12-31,3645.873345169372
2021-01-31,3468.05404840432
2021-02-28,3622.19969658125
2021-03-31,3215.9057561119853
2021-04-30,3591.9801939420418
2021-05-31,3569.9204635556316
2021-06-30,3600.066018577043
2021-07-31,3721.3037668871634
2021-08-31,3603.6918003240467
2021-09-30,3872.9005684205463
2021-10-31,4018.825328447911
2021-11-30,4209.121518248177
2021-12-31,4072.8374082583014
2022-01-31,4088.885710263806
2022-02-28,4144.809878077911
2022-03-31,4292.370327024511
2022-04-30,4222.489313437127
2022-05-31,4112.405301432899
2022-06-30,4184.79721063355
2022-07-31,4109.692539876047
2022-08-31,4168.048654713112
2022-09-30,3982.6568702371796
2022-10-31,4017.0033522648923
2022-11-30,4025.930506904124
2022-12-31,3954.0232854328538
2023-01-31,4184.50256352572
2023-02-28,4252.295636446114
2023-03-31,4310.615953603286
2023-04-30,4377.750923118746
2023-05-31,4351.828086162797
2023-06-30,4538.262062221196
2023-07-31,4622.094844840929
2023-08-31,4636.615884654613
2023-09-30,4742.538163470021
2023-10-31,4821.0055084336645
2023-11-30,4972.007523111946
2023-12-31,4787.139731358104
2024-01-31,4769.525915052117
2024-02-29,4703.717135718528
2024-03-31,4486.150026292731
2024-04-30,4647.940687423387
2024-05-31,4640.537222596879
2024-06-30,4880.645104295996
2024-07-31,4633.722503657994
2024-08-31,4721.654347339907
2024-09-30,4745.564164729996
2024-10-31,4705.898939028754
2024-11-30,5022.565177158941
2024-12-31,5075.1933032686775
