ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-31,1562.0926810224726,1345.8142712179947,1751.0273576410723,1562.0926810224726,1562.0926810224726,-13.590759389792957,-13.590759389792957,-13.590759389792957,-13.590759389792957,-13.590759389792957,-13.590759389792957,0.0,0.0,0.0,1548.5019216326796
2015-02-28,1586.4140361022837,1290.3006066399307,1712.3848875771164,1586.4140361022837,1586.4140361022837,-85.881061597952,-85.881061597952,-85.881061597952,-85.881061597952,-85.881061597952,-85.881061597952,0.0,0.0,0.0,1500.5329745043318
2015-03-31,1613.3412506549316,1389.6925778736372,1823.622145311646,1613.3412506549316,1613.3412506549316,-11.455415194635016,-11.455415194635016,-11.455415194635016,-11.455415194635016,-11.455415194635016,-11.455415194635016,0.0,0.0,0.0,1601.8858354602967
2015-04-30,1639.3998453833005,1451.141520758868,1859.835141174358,1639.3998453833005,1639.3998453833005,15.373625241539067,15.373625241539067,15.373625241539067,15.373625241539067,15.373625241539067,15.373625241539067,0.0,0.0,0.0,1654.7734706248395
2015-05-31,1666.3270599359487,1386.2583832934642,1804.611314061267,1666.3270599359487,1666.3270599359487,-73.87060288382726,-73.87060288382726,-73.87060288382726,-73.87060288382726,-73.87060288382726,-73.87060288382726,0.0,0.0,0.0,1592.4564570521213
2015-06-30,1692.3856544292328,1456.0281443743875,1875.5798797846717,1692.3856544292328,1692.3856544292328,-19.871457791658973,-19.871457791658973,-19.871457791658973,-19.871457791658973,-19.871457791658973,-19.871457791658973,0.0,0.0,0.0,1672.5141966375738
2015-07-31,1719.31286873896,1565.2179970488162,1976.950284527386,1719.31286873896,1719.31286873896,56.44352628649281,56.44352628649281,56.44352628649281,56.44352628649281,56.44352628649281,56.44352628649281,0.0,0.0,0.0,1775.756395025453
2015-08-31,1746.2400830486874,1566.3002416379516,2001.6511383516752,1746.2400830486874,1746.2400830486874,38.48979885066839,38.48979885066839,38.48979885066839,38.48979885066839,38.48979885066839,38.48979885066839,0.0,0.0,0.0,1784.7298818993559
2015-09-30,1772.2986775419718,1499.1588079356568,1917.7257116239634,1772.2986775419718,1772.2986775419718,-65.22736742851659,-65.22736742851659,-65.22736742851659,-65.22736742851659,-65.22736742851659,-65.22736742851659,0.0,0.0,0.0,1707.0713101134552
2015-10-31,1799.242722533121,1613.5144592307972,2024.5373055262219,1799.242722533121,1799.242722533121,15.559280329599202,15.559280329599202,15.559280329599202,15.559280329599202,15.559280329599202,15.559280329599202,0.0,0.0,0.0,1814.8020028627202
2015-11-30,1825.3176047826203,1650.2499585348553,2064.7457286842578,1825.3176047826203,1825.3176047826203,37.35645641315947,37.35645641315947,37.35645641315947,37.35645641315947,37.35645641315947,37.35645641315947,0.0,0.0,0.0,1862.6740611957798
2015-12-31,1852.2616497737692,1629.9496115722568,2041.7992489455391,1852.2616497737692,1852.2616497737692,-14.215460008754507,-14.215460008754507,-14.215460008754507,-14.215460008754507,-14.215460008754507,-14.215460008754507,0.0,0.0,0.0,1838.0461897650148
2016-01-31,1879.4070928304134,1644.709853887162,2070.76871906464,1879.4070928304134,1879.4070928304134,-20.614159310950896,-20.614159310950896,-20.614159310950896,-20.614159310950896,-20.614159310950896,-20.614159310950896,0.0,0.0,0.0,1858.7929335194624
2016-02-29,1904.8012169801768,1663.1996083667868,2075.0160211856996,1904.8012169801768,1904.8012169801768,-22.735663435325943,-22.735663435325943,-22.735663435325943,-22.735663435325943,-22.735663435325943,-22.735663435325943,0.0,0.0,0.0,1882.065553544851
2016-03-31,1931.946660036821,1547.2015657078543,1977.9268067063526,1931.946660036821,1931.946660036821,-163.52563582958754,-163.52563582958754,-163.52563582958754,-163.52563582958754,-163.52563582958754,-163.52563582958754,0.0,0.0,0.0,1768.4210242072334
